WeekDate,climate change matches,corporate governance matches,ESG matches,social responsibility matches,sustainability matches
2008-12-29,1187.0,36.0,29.0,731.0,207.0
2009-01-05,1772.0,123.0,42.0,1600.0,394.0
2009-01-12,2177.0,115.0,52.0,2025.0,563.0
2009-01-19,2075.0,91.0,37.0,1930.0,442.0
2009-01-26,2670.0,111.0,37.0,1813.0,413.0
2009-02-02,2068.0,130.0,45.0,1878.0,476.0
2009-02-09,2620.0,66.0,40.0,1411.0,417.0
2009-02-16,2920.0,91.0,22.0,2002.0,455.0
2009-02-23,2510.0,75.0,47.0,1946.0,511.0
2009-03-02,1624.0,77.0,58.0,1764.0,527.0
2009-03-09,1968.0,122.0,34.0,1661.0,465.0
2009-03-16,2077.0,131.0,52.0,1748.0,518.0
2009-03-23,2617.0,104.0,42.0,1614.0,520.0
2009-03-30,2103.0,109.0,84.0,1674.0,566.0
2009-04-06,2295.0,106.0,47.0,1422.0,508.0
2009-04-13,2714.0,84.0,52.0,1759.0,756.0
2009-04-20,2639.0,120.0,48.0,1509.0,858.0
2009-04-27,1947.0,149.0,60.0,1662.0,531.0
2009-05-04,2014.0,74.0,40.0,1705.0,525.0
2009-05-11,1701.0,65.0,35.0,1420.0,529.0
2009-05-18,2061.0,164.0,52.0,1410.0,601.0
2009-05-25,2037.0,82.0,36.0,1635.0,466.0
2009-06-01,1601.0,87.0,49.0,1628.0,515.0
2009-06-08,1913.0,68.0,56.0,1474.0,474.0
2009-06-15,1888.0,63.0,41.0,1690.0,333.0
2009-06-22,2477.0,120.0,35.0,1368.0,448.0
2009-06-29,1974.0,99.0,32.0,1293.0,505.0
2009-07-06,2534.0,106.0,37.0,1365.0,362.0
2009-07-13,1482.0,91.0,40.0,1550.0,606.0
2009-07-20,2012.0,53.0,36.0,1564.0,436.0
2009-07-27,1723.0,70.0,46.0,1449.0,489.0
2009-08-03,1872.0,100.0,41.0,1428.0,409.0
2009-08-10,1668.0,94.0,27.0,1418.0,369.0
2009-08-17,1846.0,71.0,39.0,1511.0,436.0
